metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
gender	PWY_6124	male	-0.000877595598617015	0.000199662315387912	481	481	1.36640073684324e-05	0.00682999744402073
FT3	HCAMHPDEG_PWY	FT3	0.000102835979106295	2.51824208854796e-05	481	432	5.205871457364e-05	0.00682999744402073
FT3	VALSYN_PWY	FT3	-0.00062297440144753	0.000145328766891874	481	481	2.19922564863566e-05	0.00682999744402073
FT3	GALACTARDEG_PWY	FT3	7.37664413118103e-05	1.91454950507918e-05	481	434	0.000132805505855959	0.00682999744402073
FT3	ORNARGDEG_PWY	FT3	6.87377257749356e-05	1.77991253840235e-05	481	383	0.000128191352176894	0.00682999744402073
FT3	PWY_5857	FT3	9.06159850852735e-05	2.30731580195124e-05	481	441	9.8678948798628e-05	0.00682999744402073
gender	PWY_4242	male	-0.000597059569390374	0.000141945956101353	481	481	3.10678898887872e-05	0.00682999744402073
FT3	PWY_6690	FT3	0.000102835979106295	2.51824208854796e-05	481	432	5.205871457364e-05	0.00682999744402073
FT3	ARGDEG_PWY	FT3	6.87377257749356e-05	1.77991253840235e-05	481	383	0.000128191352176894	0.00682999744402073
FT3	UBISYN_PWY	FT3	8.50502344775008e-05	2.20260829221126e-05	481	435	0.000128455084383027	0.00682999744402073
gender	PWY_6531	male	-0.000190608723919798	4.92860381840615e-05	481	470	0.000125403200385228	0.00682999744402073
FT3	GLUCOSE1PMETAB_PWY	FT3	0.000147990368525743	3.74543773560368e-05	481	462	8.96139530822987e-05	0.00682999744402073
gender	PWY_6123	male	-0.000864994824595207	0.000208008880185564	481	481	3.80508477524634e-05	0.00682999744402073
BMI	PWY_6123	BMI	-0.000398845820287685	0.000101798909297623	481	481	0.000102461449732653	0.00682999744402073
FT3	PWY_6353	FT3	0.000206629063990166	5.11985913212545e-05	481	481	6.34453769881702e-05	0.00682999744402073
FT3	COA_PWY_1	FT3	-0.000582332316377863	0.000140016237355664	481	481	3.79573429397686e-05	0.00682999744402073
FT3	ILEUSYN_PWY	FT3	-0.00062297440144753	0.000145328766891874	481	481	2.19922564863566e-05	0.00682999744402073
FT3	GLYOXYLATE_BYPASS	FT3	0.000131106296965615	3.34275254754584e-05	481	452	0.000100775704655573	0.00682999744402073
FT3	AST_PWY	FT3	6.09456086675309e-05	1.53960086006548e-05	481	417	8.6998893623627e-05	0.00682999744402073
gender	COA_PWY	male	-0.000736470912593453	0.000163908381588446	481	481	8.8310685032163e-06	0.00682999744402073
FT3	PWY_5855	FT3	9.06159850852735e-05	2.30731580195124e-05	481	441	9.8678948798628e-05	0.00682999744402073
FT3	PWY_7111	FT3	-0.000584687484699349	0.000142899057241944	481	481	5.03603272752769e-05	0.00682999744402073
FT3	PWY_5189	FT3	0.000122188597116028	3.01716765743283e-05	481	477	5.99007258723267e-05	0.00682999744402073
FT3	ORNDEG_PWY	FT3	8.50685357309368e-05	1.8811163602557e-05	481	388	7.74506823314885e-06	0.00682999744402073
FT3	PWY_5856	FT3	9.06159850852735e-05	2.30731580195124e-05	481	441	9.8678948798628e-05	0.00682999744402073
FT3	PWY_7409	FT3	9.52492230285226e-05	2.46067064689883e-05	481	409	0.000123687371703959	0.00682999744402073
gender	DTDPRHAMSYN_PWY	male	-0.00130307711375001	0.000306023159534103	481	481	2.48786624077088e-05	0.00682999744402073
age	PWY_7323	age	0.000216746345830184	5.62160994795087e-05	481	480	0.000131417420883693	0.00682999744402073
age	PWY_724	age	-0.000381060416730697	9.55306523174882e-05	481	481	7.69039616259939e-05	0.00682999744402073
FT3	PWY_6803	FT3	0.000117722590917543	3.02583708401681e-05	481	440	0.000114343278640444	0.00682999744402073
FT3	PWY_7290	FT3	2.32950749801599e-06	5.90565972680975e-07	481	48	9.20676489483777e-05	0.00682999744402073
FT3	PWY_6708	FT3	9.06159850852735e-05	2.30731580195124e-05	481	441	9.8678948798628e-05	0.00682999744402073
gender	PANTOSYN_PWY	male	-0.000795704115492302	0.000200005842243647	481	481	8.02562987631454e-05	0.00682999744402073
FT3	GLUCARGALACTSUPER_PWY	FT3	7.37664413118103e-05	1.91454950507918e-05	481	434	0.000132805505855959	0.00682999744402073
FT3	PWY0_1277	FT3	0.000121856631268791	2.97287377737043e-05	481	427	4.88432233825935e-05	0.00682999744402073
FT3	FUC_RHAMCAT_PWY	FT3	0.000130266239308161	3.41431360234921e-05	481	459	0.000154062534561003	0.00770312672805015
FT3	FUCCAT_PWY	FT3	0.000111967681248867	2.94801519511988e-05	481	478	0.000164828497033316	0.00789503373131837
FT3	PWY_4041	FT3	0.000140027399075009	3.68956724552186e-05	481	447	0.000166672934327832	0.00789503373131837
age	GLYCOLYSIS	age	0.000397408904565135	0.000105214134285269	481	481	0.000178861027916322	0.00825512436536869
age	PWY_5484	age	0.000386719020109419	0.000102635412316978	481	481	0.000185418544450502	0.00834383450027259
gender	PWY_7323	male	-0.00045493951018831	0.000121223997906659	481	480	0.000196538515512864	0.00862852019324767
BMI	PWY_6124	BMI	-0.000363145772141181	9.7714126032481e-05	481	481	0.000226240376567032	0.00877987395697527
FT3	PWY_5862	FT3	0.000132550198099945	3.56578950026953e-05	481	417	0.000225489721326177	0.00877987395697527
FT3	PWY_5860	FT3	0.000132550198099945	3.56578950026953e-05	481	417	0.000225489721326177	0.00877987395697527
FT3	PWY_5840	FT3	0.000176608159975112	4.74021583263549e-05	481	454	0.000218263376367135	0.00877987395697527
BMI	PWY_5005	BMI	0.000229846933001636	6.16349763956282e-05	481	385	0.000215403933400361	0.00877987395697527
FT3	GLUCARDEG_PWY	FT3	7.95563529709367e-05	2.14266222522589e-05	481	443	0.000229252264432132	0.00877987395697527
BMI	PWY_7196	BMI	0.0003531073375783	9.5900262515569e-05	481	476	0.000258068126090146	0.00967755472838048
FT3	PWY0_1338	FT3	6.41421144871809e-05	1.75072073433803e-05	481	421	0.000276651060959539	0.0100102604835866
FT3	PWY_5863	FT3	8.62356239638631e-05	2.3546114136649e-05	481	467	0.000278062791210738	0.0100102604835866
gender	PWY_6168	male	-0.000799228656402054	0.000220573064159789	481	481	0.000322219085668696	0.0102552990686656
FT3	PWY0_321	FT3	5.10957813362897e-05	1.4157125565727e-05	481	315	0.000339908906183719	0.0102552990686656
FT3	ECASYN_PWY	FT3	7.56512660283903e-05	2.11513099924809e-05	481	405	0.000383825851237779	0.0102552990686656
FT3	PWY_5896	FT3	0.000161685095351842	4.50439711556524e-05	481	417	0.000365908140198004	0.0102552990686656
FT3	PWY0_1533	FT3	8.6929699241067e-05	2.40292196594336e-05	481	426	0.000329265184885521	0.0102552990686656
age	PWY_7539	age	0.000155185775674512	4.28948316174233e-05	481	481	0.000329075235560648	0.0102552990686656
FT3	PWY_7229	FT3	-0.000458505130391047	0.000126872134687231	481	481	0.000333937348700647	0.0102552990686656
FT3	PWY0_1241	FT3	8.64912281816279e-05	2.3785845603671e-05	481	462	0.00030701294634992	0.0102552990686656
FT3	PWY_5845	FT3	0.000161685095351842	4.50439711556524e-05	481	417	0.000365908140198004	0.0102552990686656
FT3	TCA_GLYOX_BYPASS	FT3	0.000136908188879157	3.75882419989066e-05	481	444	0.000300059376882099	0.0102552990686656
BMI	POLYAMSYN_PWY	BMI	0.000377360939122512	0.000104630388731672	481	481	0.000343215996647093	0.0102552990686656
FT3	PWY_5850	FT3	0.000161685095351842	4.50439711556524e-05	481	417	0.000365908140198004	0.0102552990686656
gender	PWY0_845	male	-0.00113334734190948	0.000316899324462287	481	481	0.000384263926495826	0.0102552990686656
FT3	PWY0_1061	FT3	0.000171724726538205	4.73453690463876e-05	481	472	0.00031782720651601	0.0102552990686656
FT3	PWY_6612	FT3	9.79721608724133e-05	2.7266904934417e-05	481	477	0.000361041450493451	0.0102552990686656
FT3	PWY_5083	FT3	0.000150904792696529	4.22210025474693e-05	481	466	0.000387422409260699	0.0102552990686656
FT3	POLYISOPRENSYN_PWY	FT3	6.94376829084583e-05	1.93191261856726e-05	481	447	0.000359471840281913	0.0102552990686656
gender	ANAEROFRUCAT_PWY	male	-0.000688663850667259	0.000192629567802517	481	481	0.000386121394238569	0.0102552990686656
FT3	KDO_NAGLIPASYN_PWY	FT3	6.25308854679151e-05	1.75791910996539e-05	481	424	0.000412766437042298	0.0107678200967556
FT3	PWY_2723	FT3	8.37006694225143e-05	2.36079985017236e-05	481	420	0.000430965168890326	0.0110819614857512
BMI	ANAGLYCOLYSIS_PWY	BMI	-0.000502489526782697	0.000142711257827824	481	481	0.000471532197880213	0.0117883049470053
FT3	PWY_6823	FT3	6.90904122624898e-05	1.96066449803204e-05	481	414	0.000466697693896338	0.0117883049470053
FT3	P105_PWY	FT3	0.000142667565831377	4.06312453619675e-05	481	438	0.000488701065604951	0.0120501632614919
FT3	PWY_5705	FT3	4.87283546494929e-05	1.39480167366903e-05	481	420	0.000521405859452322	0.0126828452299213
FT3	PWY_7388	FT3	0.000129192119533681	3.71373044955473e-05	481	476	0.000550295821733821	0.0131359000244293
FT3	PWY_7315	FT3	0.000119454303154269	3.43593839210699e-05	481	433	0.000554626889920346	0.0131359000244293
FT3	PWY_5138	FT3	3.92853012049288e-05	1.13231941581055e-05	481	405	0.000569240633746147	0.0133069239057541
FT3	PWY_7269	FT3	0.000123812120252841	3.58496968727907e-05	481	428	0.000602792490321125	0.0133953886738028
FT3	PWY_5791	FT3	0.000106954161469476	3.09510049598052e-05	481	467	0.000598554368369956	0.0133953886738028
FT3	GLYCOLYSIS_TCA_GLYOX_BYPASS	FT3	0.000154400029486337	4.46035282373181e-05	481	443	0.000585663222375336	0.0133953886738028
FT3	PWY_5837	FT3	0.000106954161469476	3.09510049598052e-05	481	467	0.000598554368369956	0.0133953886738028
FT3	PWY_5861	FT3	0.000142436926673501	4.13726685758889e-05	481	440	0.000626915606939793	0.0136483056081262
FT3	NAD_BIOSYNTHESIS_II	FT3	0.000120802900298256	3.51643565079776e-05	481	474	0.000643853619435664	0.0136483056081262
FT3	PWY_561	FT3	9.2413348392535e-05	2.68846441726387e-05	481	438	0.000639179579993985	0.0136483056081262
age	GLYCOLYSIS_E_D	age	0.000136572153713757	3.97578501623332e-05	481	479	0.000644503320383739	0.0136483056081262
FT3	SALVADEHYPOX_PWY	FT3	0.000165002345950561	4.81615683835676e-05	481	481	0.000665898079600142	0.013734272619318
BMI	PWY_7208	BMI	0.000439204100411757	0.000128518523359211	481	481	0.000686713630965902	0.013734272619318
FT3	PWY_6892	FT3	0.00014756536041093	4.31746998844784e-05	481	446	0.000685659967368251	0.013734272619318
FT3	GLYCOL_GLYOXDEG_PWY	FT3	5.90409213258232e-05	1.72505874334412e-05	481	424	0.000674248999593782	0.013734272619318
BMI	ANAEROFRUCAT_PWY	BMI	-0.000323003702988089	9.4272320889739e-05	481	481	0.00066526052818775	0.013734272619318
FT3	PWY_6859	FT3	5.24969596952352e-05	1.54032555049633e-05	481	429	0.000709875063996877	0.0139126937083256
FT3	PWY_7254	FT3	0.000100184636384312	2.94152527890446e-05	481	449	0.000715734686268512	0.0139126937083256
FT3	METHGLYUT_PWY	FT3	4.91827820097699e-05	1.44456862915125e-05	481	403	0.000718822508263489	0.0139126937083256
age	PWY_6124	age	0.000311448364358912	9.25908795121441e-05	481	481	0.000831524611680208	0.0156907580116821
FT3	ENTBACSYN_PWY	FT3	0.000157537440801214	4.68596057278938e-05	481	410	0.000836840427289711	0.0156907580116821
FT3	REDCITCYC	FT3	7.15614593238244e-05	2.12529143476617e-05	481	467	0.000821486555182447	0.0156907580116821
FT3	PWY0_862	FT3	0.000144817224435666	4.32229744351862e-05	481	476	0.0008713191812289	0.0161688095485775
FT3	PWY_5723	FT3	0.000143819101704571	4.31253059609685e-05	481	440	0.000920353901810599	0.016904459421011
gender	ARG.POLYAMINE_SYN	male	0.000508851182088483	0.000153070060525385	481	480	0.000955253399182576	0.0173682436215014
FT3	FOLSYN_PWY	FT3	0.00010799493250634	3.25850874923852e-05	481	477	0.000989471854461528	0.0178104933803075
age	PWY_6737	age	-0.000586102678468198	0.00017767173351882	481	481	0.00104425146441418	0.0183342368367929
FT3	PWY_6608	FT3	0.000248140375802743	7.53650128806665e-05	481	481	0.00106731804991329	0.0183342368367929
FT3	PWY_6121	FT3	-0.000347600622155645	0.000105344416838368	481	481	0.00104111710603785	0.0183342368367929
FT3	PWY0_1297	FT3	0.000179075801856386	5.43146112129219e-05	481	481	0.00105076121508315	0.0183342368367929
FT3	PWY_5173	FT3	5.4971611614655e-05	1.67035949337046e-05	481	460	0.00107293110110061	0.0183342368367929
gender	COLANSYN_PWY	male	-0.000271093586186192	8.2487162085658e-05	481	480	0.00108986852307603	0.0183342368367929
FT3	FASYN_INITIAL_PWY	FT3	0.000127574278684581	3.87982216962212e-05	481	476	0.00108363168010476	0.0183342368367929
age	HEXITOLDEGSUPER_PWY	age	0.000146951764731241	4.48519806173985e-05	481	481	0.00112878605134959	0.0188131008558266
FT3	PWY_6467	FT3	2.46694176675847e-05	7.57109946057332e-06	481	185	0.00120121153037819	0.0198365206851445
FT3	PWY_6385	FT3	-0.000464114721856895	0.000142788809181146	481	481	0.00123479069506041	0.0200868295220129
FT3	PWY_5838	FT3	0.000166711403770845	5.13083184116609e-05	481	440	0.00123968197121122	0.0200868295220129
FT3	PWY_5464	FT3	8.01637768468927e-05	2.4689843579897e-05	481	404	0.00124984717025858	0.0200868295220129
FT3	PWYG_321	FT3	0.000144395410147262	4.46852175978649e-05	481	476	0.0013178128412564	0.0206266357761872
FT3	PWY_7446	FT3	6.21479660562274e-05	1.92251698267417e-05	481	407	0.00131221091787283	0.0206266357761872
FT3	PANTO_PWY	FT3	-0.000480695947905695	0.00014866830406955	481	481	0.00130902601250915	0.0206266357761872
FT3	PWY_6126	FT3	-0.000404513038256097	0.000125354568466825	481	481	0.00133798055635579	0.0207617672537967
BMI	PWY_6168	BMI	-0.00034691878766614	0.000107947782478661	481	481	0.00139957014991384	0.0212164305654914
gender	PWY_6608	male	0.000530658245351115	0.000165083789027764	481	481	0.00139617206091395	0.0212164305654914
FT3	PWY_6147	FT3	0.000172119477231219	5.35676863670108e-05	481	481	0.00140264179849638	0.0212164305654914
FT3	PWY_7664	FT3	0.000145545383796149	4.53390413797314e-05	481	476	0.00141687896835931	0.0212531845253897
gender	ANAGLYCOLYSIS_PWY	male	-0.000932983460927229	0.000291606355465463	481	481	0.00146933389014596	0.0215024471728677
age	PWY_5415	age	1.6661102793402e-05	5.20083473889266e-06	481	198	0.00144910275323965	0.0215024471728677
FT3	PWY_6629	FT3	0.000173749650280019	5.42676123541936e-05	481	410	0.00145811529923092	0.0215024471728677
