metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
age	Rothia_unclassified	age	1.07570825505367e-06	3.33355661398005e-07	481	61	0.00133817402242209	0.160187685201711
FT3	Bacteroides_vulgatus	FT3	-0.00643969523813012	0.00200451461006721	481	478	0.00140515513334834	0.160187685201711
gender	Bacteroides_ovatus	male	-0.0107728754312371	0.00328341459695777	481	480	0.00111084417868986	0.160187685201711
BMI	Fusobacterium_mortiferum	BMI	0.00199891504672282	0.000556188501092507	481	70	0.00035986575121411	0.160187685201711
gender	Bacteroides_intestinalis	male	-0.00313739837106729	0.000908348773148177	481	333	0.000602110626397362	0.160187685201711
age	Bacteroides_fragilis	age	0.0064769708155639	0.00190315411999376	481	344	0.000722392680251313	0.160187685201711
FT3	Escherichia_unclassified	FT3	0.00169665843620779	0.000517236863192475	481	365	0.00111378392641645	0.160187685201711
BMI	Subdoligranulum_variabile	BMI	-2.41096112701786e-06	7.19460396546816e-07	481	298	0.000869478042059108	0.160187685201711
FT3	Proteus_unclassified	FT3	2.24438259577195e-06	6.9367836775765e-07	481	9	0.00129948845455622	0.160187685201711
age	Lactobacillus_vaginalis	age	1.81808356929185e-05	5.40016114532448e-06	481	8	0.000822695431851074	0.160187685201711
FT3	Escherichia_coli	FT3	0.00940030318981592	0.0026524253820457	481	469	0.000433194255650413	0.160187685201711
FT3	Cronobacter_unclassified	FT3	2.45172038104515e-07	7.39521098062561e-08	481	10	0.000985891640991511	0.160187685201711
age	Halomonas_unclassified	age	2.21724008988393e-06	6.40361880898441e-07	481	29	0.00058382097456453	0.160187685201711
FT3	Pantoea_unclassified	FT3	3.52211469738241e-05	1.03945161936835e-05	481	168	0.000761664722109511	0.160187685201711
age	Lactobacillus_salivarius	age	0.00021773273411729	6.25271838689524e-05	481	68	0.000543450564200189	0.160187685201711
gender	Megamonas_unclassified	male	0.0310746316513631	0.00963493190426852	481	413	0.00134598820235923	0.160187685201711
gender	Cronobacter_unclassified	male	-5.12450906453578e-07	1.61988886179117e-07	481	10	0.00165922196871445	0.168134492829731
FT3	Halomonas_unclassified	FT3	2.00264320088165e-06	6.3040364364207e-07	481	29	0.00158667699746732	0.168134492829731
gender	Gardnerella_vaginalis	male	-1.12770301212439e-05	3.58893903291378e-06	481	41	0.00178228920644166	0.171099763818399
age	Flavonifractor_plautii	age	0.000134777210086827	4.34438500598006e-05	481	413	0.00203488411750682	0.185581431516622
FT3	Kocuria_unclassified	FT3	-2.296572744478e-07	7.56543982295142e-08	481	7	0.00253287776230514	0.209998592656571
age	Streptococcus_australis	age	-2.41533297045219e-05	7.94969383201495e-06	481	342	0.00251104331254574	0.209998592656571
BMI	Dialister_succinatiphilus	BMI	0.00230853005563256	0.000776759915996122	481	214	0.00310947888860234	0.246595195339594
FT3	Cellvibrio_unclassified	FT3	2.43513510391074e-07	8.23639686575006e-08	481	13	0.00326651460867732	0.248255110259477
gender	Coprococcus_eutactus	male	-0.00173278932210302	0.000596185366607416	481	101	0.00382699200209722	0.249301193279476
FT3	Prevotella_buccae	FT3	0.00231691982744588	0.000794297461152008	481	34	0.00370293455503586	0.249301193279476
gender	Dialister_invisus	male	-0.00408263212994355	0.0013989477632586	481	100	0.00368644787176436	0.249301193279476
gender	Turicibacter_unclassified	male	2.07600940304525e-05	7.12428777245678e-06	481	92	0.00373751573128472	0.249301193279476
