metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
BMI	PWY_6168	BMI	-0.00043422394187756	7.14057395425855e-05	1034	1034	1.68539181897286e-09	1.51685263707558e-06
BMI	PWY_6123	BMI	-0.000412168605505948	6.67173837429142e-05	1034	1034	9.37593465831225e-10	1.51685263707558e-06
BMI	ANAGLYCOLYSIS_PWY	BMI	-0.000565650214458006	9.57091486460319e-05	1034	1034	4.65707602540101e-09	2.79424561524061e-06
gender	PWY_6124	male	-0.000770074676624989	0.000132641947022644	1034	1034	8.55533052249627e-09	3.07991898809866e-06
BMI	PWY66_399	BMI	-0.000114564095377002	1.96756049970494e-05	1034	912	7.75479071737844e-09	3.07991898809866e-06
gender	PWY0_845	male	-0.00120202947236776	0.000208204687803324	1034	1033	1.03093518809765e-08	3.09280556429296e-06
gender	PWY_6123	male	-0.000789810780159049	0.000137726354569977	1034	1034	1.28675436967978e-08	3.30879695060516e-06
BMI	PWY_6124	BMI	-0.000364857276506672	6.42543956641265e-05	1034	1034	1.77281699788507e-08	3.98883824524141e-06
gender	ANAGLYCOLYSIS_PWY	male	-0.00110320189566734	0.000197574775905597	1034	1034	3.01803787247038e-08	6.03607574494075e-06
BMI	DTDPRHAMSYN_PWY	BMI	-0.000547612969942508	0.000100509283131876	1034	1034	6.3721172950675e-08	1.14698111311215e-05
BMI	PWY0_845	BMI	-0.000541866585991984	0.00010085848926024	1034	1033	9.61773588891897e-08	1.57381132727765e-05
gender	PANTOSYN_PWY	male	-0.000712406741880712	0.000135467926463115	1034	1034	1.76571558814331e-07	2.64857338221497e-05
BMI	CITRULBIO_PWY	BMI	-0.000132333987717096	2.61026021176877e-05	1034	1021	4.72832501343674e-07	6.54691155706626e-05
gender	PWY_6168	male	-0.000739148339332179	0.00014740464405003	1034	1034	6.2702843973012e-07	7.20524425351212e-05
gender	PYRIDOXSYN_PWY	male	-0.00114702054577672	0.000228935378171144	1034	1034	6.40466155867744e-07	7.20524425351212e-05
gender	DTDPRHAMSYN_PWY	male	-0.00104082332838683	0.000207483812907534	1034	1034	6.20725189974778e-07	7.20524425351212e-05
BMI	PYRIDOXSYN_PWY	BMI	-0.000553667237073767	0.000110900847738716	1034	1034	7.00815684347044e-07	7.42040136367459e-05
BMI	PWY_4984	BMI	-0.00011418979783178	2.31084359146138e-05	1034	1020	9.05767417330579e-07	9.05767417330579e-05
BMI	PWY0_162	BMI	0.000545105367282123	0.000111168820414221	1034	1034	1.09540166224157e-06	0.000103774894317623
BMI	PWY_7234	BMI	-0.000228603480402641	4.68232808390575e-05	1034	1034	1.2166552956927e-06	0.000109498976612343
BMI	PWY_7383	BMI	-9.08169579347336e-05	1.8717376863477e-05	1034	913	1.41286579518039e-06	0.00011890941829135
gender	PWY_7282	male	-0.000793284326340667	0.000163689305605435	1034	1033	1.45333733467206e-06	0.00011890941829135
BMI	PWY_6608	BMI	0.000264434647929538	5.50249871297934e-05	1034	1034	1.77332657697113e-06	0.000127679513541921
BMI	PWY_5659	BMI	-0.000291855150111117	6.06390608015443e-05	1034	1034	1.71137937468893e-06	0.000127679513541921
BMI	POLYAMSYN_PWY	BMI	0.000353199974784708	7.34325839016687e-05	1034	1032	1.73783935590107e-06	0.000127679513541921
BMI	PANTOSYN_PWY	BMI	-0.000313134545979644	6.56233562771345e-05	1034	1034	2.09310430652065e-06	0.00014490722122066
gender	COA_PWY	male	-0.000563458177770055	0.000120412777664096	1034	1034	3.26467493449858e-06	0.000217644995633239
BMI	PWY_7196	BMI	0.000290155739201783	6.24174681128841e-05	1034	1025	3.77944960995462e-06	0.000242964617782797
BMI	HISTSYN_PWY	BMI	-0.000229932845976141	4.95439791822406e-05	1034	1034	3.91902243934396e-06	0.000243249668648935
BMI	COA_PWY_1	BMI	-0.000447561720268629	9.7278134640343e-05	1034	1034	4.73677032769996e-06	0.000284206219661998
gender	ARG.POLYAMINE_SYN	male	0.000472122704938085	0.000103810550817169	1034	1031	6.06780063958318e-06	0.00035232390810483
gender	PWY66_399	male	-0.000183651735327674	4.06168407419037e-05	1034	912	6.85792623169597e-06	0.000385758350532899
BMI	PWY_5690	BMI	0.000360331175388146	8.09689729903364e-05	1034	1032	9.52094610720041e-06	0.000519324333120022
age	PWY_5941	age	3.5143542135607e-06	7.90938892874924e-07	1034	85	9.82865403308935e-06	0.000520340507634142
BMI	P461_PWY	BMI	0.000436917948232186	9.868067135406e-05	1034	1034	1.05559267477146e-05	0.000542876232739608
gender	PWY_6531	male	-0.000136727728087533	3.11802684589701e-05	1034	1003	1.27971032314519e-05	0.000624714153002712
BMI	ANAEROFRUCAT_PWY	BMI	-0.000276915382395713	6.31605873900771e-05	1034	1034	1.28413464783891e-05	0.000624714153002712
gender	PWY_4242	male	-0.000436403051551886	0.000100720893612834	1034	1034	1.61784205787223e-05	0.000766346237939476
gender	ARGININE_SYN4_PWY	male	-0.00105792561024063	0.000246131856946335	1034	1030	1.88676850160186e-05	0.00087081623150855
BMI	PWY_6121	BMI	-0.000310778541961356	7.32825838605201e-05	1034	1034	2.42925734115936e-05	0.00106650322294801
BMI	PWY_6590	BMI	-2.69766011231762e-05	6.36099671896041e-06	1034	740	2.42803131758087e-05	0.00106650322294801
BMI	CENTFERM_PWY	BMI	-2.17843471755124e-05	5.16305326916327e-06	1034	740	2.66903120924319e-05	0.00114387051824708
BMI	PWY_7323	BMI	-0.000173721398338417	4.14129931687366e-05	1034	1032	2.96803250261271e-05	0.00124243221039602
age	PWY_6123	age	0.000272484712272466	6.52697179741412e-05	1034	1034	3.23780104892318e-05	0.00132455497455948
BMI	ARGININE_SYN4_PWY	BMI	-0.00049702652516878	0.000119231163872135	1034	1030	3.3249360899224e-05	0.00132997443596896
gender	PWY_6609	male	-0.000526489646176497	0.000127554545348541	1034	1034	3.96555179433973e-05	0.00155173765865468
BMI	PWY_5005	BMI	0.000161319769048471	3.91725457930466e-05	1034	815	4.12766379883149e-05	0.00158080741231844
BMI	COA_PWY	BMI	-0.000238792268210719	5.83303429474274e-05	1034	1034	4.57922059878859e-05	0.00171720772454572
BMI	PWY_7237	BMI	0.000673702982257283	0.000166035068681786	1034	1027	5.33661714305286e-05	0.00194407781693691
BMI	GOLPDLCAT_PWY	BMI	0.000344411522324751	8.49396091805464e-05	1034	969	5.40021615815808e-05	0.00194407781693691
age	PWY_6124	age	0.000253965484804624	6.28601729911484e-05	1034	1034	5.74235820889658e-05	0.00198773938000266
gender	PWY_7234	male	-0.000390630997863433	9.66584631648498e-05	1034	1034	5.71379668741559e-05	0.00198773938000266
gender	PWY_6353	male	0.000276468145959923	6.87651205139811e-05	1034	1034	6.23601141721921e-05	0.00211789066999898
gender	PWY_6608	male	0.000454594590399647	0.00011358944944317	1034	1034	6.73295669872937e-05	0.00212619685223033
age	COLANSYN_PWY	age	0.000105331964325375	2.62836605855766e-05	1034	1032	6.58261512831541e-05	0.00212619685223033
age	OANTIGEN_PWY	age	0.000159867066115847	3.99109473753671e-05	1034	1034	6.63528532521011e-05	0.00212619685223033
gender	PWY_5101	male	-0.000492099224758878	0.000122827341501221	1034	1016	6.61221184333998e-05	0.00212619685223033
gender	COA_PWY_1	male	-0.000802469749421372	0.000200813672715467	1034	1034	6.90290357230239e-05	0.0021422804189904
BMI	PWY_7371	BMI	0.000221963038881708	5.60351116847208e-05	1034	796	7.97772200053567e-05	0.00243388128829902
gender	PWY66_409	male	0.000394657079583324	9.98679024245536e-05	1034	1034	8.29111334279741e-05	0.00244655803557956
BMI	PWY_7282	BMI	-0.000313412780732406	7.92943532905329e-05	1034	1033	8.26615633245607e-05	0.00244655803557956
age	PWY_7208	age	-0.000342500477998103	8.703238934436e-05	1034	1034	8.87157634194934e-05	0.00257561893798529
BMI	ARG.POLYAMINE_SYN	BMI	0.000197010953278612	5.02878942600151e-05	1034	1031	9.53665415826557e-05	0.00272475833093302
gender	PWY_3841	male	-0.000907877844103415	0.000232751690587527	1034	1034	0.000102225686962489	0.00283086517742276
BMI	HSERMETANA_PWY	BMI	-0.000126804095130487	3.25020632836662e-05	1034	1034	0.000101898160876471	0.00283086517742276
age	GLYCOLYSIS_E_D	age	9.92713796833521e-05	2.58646732643183e-05	1034	1029	0.000131613086493493	0.00358944781345891
gender	PWY_6121	male	-0.000575089650316999	0.000151279060454015	1034	1034	0.000152339019835293	0.00407571260041581
age	PWY_7031	age	1.44402304516164e-07	3.8055482993801e-08	1034	10	0.000156636184777512	0.00407571260041581
BMI	PWY_6305	BMI	0.000216761341638454	5.71696964147042e-05	1034	1034	0.000158499934460615	0.00407571260041581
age	PWY_7357	age	-0.000440249519623705	0.000116105796385809	1034	1034	0.00015834040885388	0.00407571260041581
age	HEXITOLDEGSUPER_PWY	age	0.000115324229431967	3.05570610126089e-05	1034	1034	0.000169869775706179	0.00430655769395947
BMI	PWY_4981	BMI	-7.92054124596257e-05	2.10108929705448e-05	1034	1031	0.000172802927572062	0.00432007318930155
BMI	PWY_5188	BMI	0.000241963845365612	6.4287395646428e-05	1034	1034	0.000176908833275662	0.00436213561501632
gender	PWY_7323	male	-0.000321441191180487	8.54898717692479e-05	1034	1032	0.000179574608989356	0.00436803102947082
age	ANAEROFRUCAT_PWY	age	0.000229968862824635	6.17900986932699e-05	1034	1034	0.000208635621084874	0.00500725490603697
BMI	DAPLYSINESYN_PWY	BMI	-0.000151511956154938	4.09915658999852e-05	1034	1034	0.00023051907631089	0.00537910133731004
gender	THRESYN_PWY	male	-0.000369174718762049	9.99576081142256e-05	1034	1034	0.000233094391283435	0.00537910133731004
gender	X1CMET2_PWY	male	-0.000874280983423617	0.000236399549081033	1034	1034	0.000228605632268719	0.00537910133731004
BMI	COBALSYN_PWY	BMI	0.000305497929067148	8.356735320178e-05	1034	1034	0.000269555464138792	0.00614177006898512
gender	RHAMCAT_PWY	male	-0.000399745068089902	0.000109682294075185	1034	1034	0.000281341295947517	0.00630036431397842
gender	PWY0_162	male	0.00083592703592798	0.000229488560829862	1034	1034	0.000283516394129029	0.00630036431397842
gender	PWY_7357	male	0.000890904224665276	0.000244996126488501	1034	1034	0.000290294584447604	0.00637232014641082
age	UDPNAGSYN_PWY	age	0.000169784372103448	4.6789638242048e-05	1034	1034	0.000299006081805038	0.00640727318153653
gender	ANAEROFRUCAT_PWY	male	-0.000473326413955985	0.000130383971398723	1034	1034	0.0002972102135733	0.00640727318153653
age	PWY_7323	age	0.000145826072172823	4.05143941945348e-05	1034	1032	0.000334331450261427	0.00707996012318316
gender	PWY_7209	male	-5.52805342081719e-05	1.55144151643124e-05	1034	872	0.00038334940623842	0.00793136702562248
GROUP	PWY_5676	G2	-0.00018459931846427	5.17630895040173e-05	1034	1002	0.000378954778084862	0.00793136702562248
BMI	P162_PWY	BMI	-2.33015524840329e-05	6.59493742401265e-06	1034	365	0.000428876023294379	0.00877246411283956
BMI	PWY_7208	BMI	0.000312947542821715	8.89627456372778e-05	1034	1034	0.000454419003429584	0.00919049669857586
age	GLYCOLYSIS	age	0.000245428029769474	7.01073928027909e-05	1034	1034	0.000484030036056035	0.0094701528793572
BMI	PWY_6595	BMI	-2.62425529053386e-05	7.48561905087997e-06	1034	967	0.000475161433350596	0.0094701528793572
BMI	PWY66_400	BMI	0.000462288760710819	0.000132010838096403	1034	1034	0.000481959655855356	0.0094701528793572
gender	ASPASN_PWY	male	-0.000362987658220261	0.00010397959499809	1034	1034	0.000501903595398576	0.00971426313674662
age	REDCITCYC	age	4.70216002568481e-05	1.35143385726646e-05	1034	1000	0.000523804126777339	0.0100302917893533
age	PWY_5791	age	7.12009156660589e-05	2.06089118130992e-05	1034	1000	0.000573231943537901	0.0106372937976105
gender	POLYAMSYN_PWY	male	0.000524125550126062	0.000151588709269567	1034	1032	0.000567606519520362	0.0106372937976105
age	PWY_5837	age	7.12009156660589e-05	2.06089118130992e-05	1034	1000	0.000573231943537901	0.0106372937976105
gender	PWY_6590	male	-4.53006692257372e-05	1.31311637295286e-05	1034	740	0.00058383060106068	0.0107234192031554
gender	CENTFERM_PWY	male	-3.65371698614548e-05	1.06582192723944e-05	1034	740	0.000632165528702061	0.011266316353106
gender	PWY_7383	male	-0.00013266453158702	3.86387465739452e-05	1034	913	0.000619884761440163	0.011266316353106
age	PWY_5484	age	0.000234115472667067	6.82836428262224e-05	1034	1034	0.000631018412177951	0.011266316353106
BMI	PWY_3841	BMI	-0.00038505445470837	0.000112749545330122	1034	1034	0.00066262344311566	0.0116933548785117
age	PWY_5898	age	0.000127472603713875	3.79194891828443e-05	1034	1000	0.00080349471627549	0.0137741951361513
age	PWY_5899	age	0.000127472603713875	3.79194891828443e-05	1034	1000	0.00080349471627549	0.0137741951361513
age	PWY_5897	age	0.000127472603713875	3.79194891828443e-05	1034	1000	0.00080349471627549	0.0137741951361513
BMI	X1CMET2_PWY	BMI	-0.000383236379886938	0.000114516640492925	1034	1034	0.000848077229018101	0.0144013114361564
gender	GLUCUROCAT_PWY	male	-0.000346456337269127	0.000104091501106103	1034	1034	0.000904746907116406	0.0152200414281265
age	DAPLYSINESYN_PWY	age	0.000133365891880202	4.01021112566425e-05	1034	1034	0.000913540789432868	0.0152256798238811
BMI	PWY_7235	BMI	-9.37891056181187e-06	2.82294181281453e-06	1034	329	0.000924194149934662	0.0152619217420403
age	PWY_6168	age	0.000231906507843828	6.98563435826353e-05	1034	1034	0.000932835713631996	0.0152645844048872
BMI	PRPP_PWY	BMI	-9.43661476423159e-05	2.87057890765703e-05	1034	1034	0.00104584077181453	0.0169595800834789
age	GLCMANNANAUT_PWY	age	-0.000222774188690298	6.81262387414574e-05	1034	1034	0.00111137597234145	0.0178470398265568
age	PWY_7228	age	-0.000292193310231464	8.94184130599796e-05	1034	1034	0.00112039750022273	0.0178470398265568
BMI	PWY_7197	BMI	0.000183499652024953	5.62468787047225e-05	1034	1034	0.00114138179994448	0.0180218178938603
BMI	PWY_5484	BMI	-0.000227207766239079	6.97981566827984e-05	1034	1034	0.00117034933567344	0.0183185113409757
age	PWY0_162	age	-0.000353521075186426	0.000108756626067861	1034	1034	0.00118941946530922	0.0184565089444534
age	HISTSYN_PWY	age	0.000156898462839993	4.84689501764975e-05	1034	1034	0.00124644297041705	0.0191760456987239
age	P42_PWY	age	8.39554141888298e-05	2.60584579469112e-05	1034	1033	0.00131414938599012	0.019305964118536
gender	SALVADEHYPOX_PWY	male	0.000208082931155434	6.44002148769793e-05	1034	1034	0.00127263925353762	0.019305964118536
BMI	PWY_6122	BMI	-0.000249137505642463	7.75234097552287e-05	1034	1034	0.00135141748829752	0.019305964118536
age	P4_PWY	age	9.99544939389541e-05	3.09875198500794e-05	1034	1034	0.00129688367942372	0.019305964118536
age	PWY_5863	age	5.07131028962654e-05	1.57560324533151e-05	1034	1000	0.00132858459440127	0.019305964118536
gender	PWY_6895	male	0.000344069845676674	0.00010661029730507	1034	936	0.00128917704524771	0.019305964118536
BMI	RIBOSYN2_PWY	BMI	-0.000159676457732888	4.95649452444093e-05	1034	1016	0.00131528599493451	0.019305964118536
BMI	PWY_6277	BMI	-0.000249137505642463	7.75234097552287e-05	1034	1034	0.00135141748829752	0.019305964118536
age	GOLPDLCAT_PWY	age	-0.000267238227914611	8.30965488306763e-05	1034	969	0.00134078852331972	0.019305964118536
age	PWY_6876	age	2.16748774275509e-06	6.7540851730053e-07	1034	74	0.00137279635693962	0.0193190633267787
age	PWY0_781	age	9.49852432426519e-05	2.96002072098756e-05	1034	1034	0.00137380005879315	0.0193190633267787
