metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
age	Actinomyces_viscosus	age	1.04277129316427e-06	1.88219531811294e-07	1034	151	3.84494673788118e-08	7.01318284989527e-05
age	Gordonibacter_pamelaeae	age	2.63783555332217e-05	4.94186653463309e-06	1034	541	1.15983972634711e-07	0.000105777383042857
age	Streptococcus_gordonii	age	5.32247623570203e-06	1.06009247518696e-06	1034	199	6.07135558681223e-07	0.000316430538814225
age	Bifidobacterium_dentium	age	0.000124870845641214	2.50021391757487e-05	1034	174	6.93926620206633e-07	0.000316430538814225
age	Lactobacillus_gasseri	age	2.1876951876878e-05	4.73087476289139e-06	1034	65	4.24111775670002e-06	0.00154715975764417
age	Rothia_dentocariosa	age	1.11745148952692e-06	2.48016481590814e-07	1034	94	7.38506076662727e-06	0.00224505847305469
gender	Bacteroides_intestinalis	male	-0.00287249252992586	0.000649751695530147	1034	687	1.08815460602618e-05	0.00248099250173969
gender	Gardnerella_vaginalis	male	-8.78954417857842e-06	1.9851621499927e-06	1034	77	1.05546657269617e-05	0.00248099250173969
BMI	Odoribacter_splanchnicus	BMI	-0.000806717832080446	0.000186268284255376	1034	683	1.6312471387362e-05	0.00330599420117203
BMI	Subdoligranulum_variabile	BMI	-2.47666135134179e-06	5.78310127600697e-07	1034	639	2.02175864567909e-05	0.00368768776971865
BMI	Megamonas_unclassified	BMI	0.0127059026412028	0.0031567877613005	1034	884	6.12040271808216e-05	0.0101487405070744
BMI	Alistipes_finegoldii	BMI	-0.000473183015614723	0.000118604942783707	1034	739	7.09235628599329e-05	0.0107803815547098
age	Rothia_unclassified	age	1.26086835299417e-06	3.22473546013622e-07	1034	141	9.84001330603738e-05	0.0113134958419541
BMI	Alistipes_shahii	BMI	-0.00137153844849894	0.000348412528020183	1034	835	8.82750997032668e-05	0.0113134958419541
gender	Alistipes_shahii	male	-0.00281070683310099	0.00071923664686306	1034	835	9.9241191596089e-05	0.0113134958419541
BMI	Deinococcus_unclassified	BMI	-2.52658561337098e-06	6.46364816148474e-07	1034	509	9.8832152447886e-05	0.0113134958419541
age	Clostridium_hathewayi	age	0.00017642736896309	4.56968423658262e-05	1034	772	0.000120117771235054	0.0128879302783964
BMI	Eubacterium_cylindroides	BMI	-2.41008231603494e-05	6.27607008584299e-06	1034	64	0.000130557074238137	0.0131311373683705
age	Campylobacter_concisus	age	2.68767115399674e-06	7.02017428269319e-07	1034	41	0.000136782680920526	0.0131311373683705
GROUP	Butyrivibrio_unclassified	G2	-3.02922467630516e-05	8.16381727226582e-06	1034	923	0.000217979146295483	0.0162624253652821
age	Parascardovia_denticolens	age	7.95676808893619e-07	2.13078050441945e-07	1034	13	0.000198731338826471	0.0162624253652821
age	Lactobacillus_vaginalis	age	9.66429972197916e-06	2.60003063186912e-06	1034	21	0.000212567677126106	0.0162624253652821
BMI	Bacteroides_eggerthii	BMI	-0.00425508557275792	0.00113455141115308	1034	694	0.000186445721696165	0.0162624253652821
age	Lactobacillus_mucosae	age	0.000325123167183346	8.74676375896388e-05	1034	95	0.000212506653785107	0.0162624253652821
age	Aggregatibacter_segnis	age	1.77324478215676e-05	4.78631390284154e-06	1034	96	0.000222895084502221	0.0162624253652821
gender	Eubacterium_eligens	male	-0.00703109524005552	0.00190796949659753	1034	960	0.000240620034584182	0.0168804208877518
BMI	Fusobacterium_mortiferum	BMI	0.00131826173227727	0.000360712357958912	1034	167	0.000270701266933215	0.0170261762374546
age	Streptococcus_anginosus	age	3.126013553007e-05	8.52465096691148e-06	1034	465	0.000258052483888646	0.0170261762374546
gender	Barnesiella_intestinihominis	male	-0.0023937934957811	0.000653859938883985	1034	566	0.000264100860902323	0.0170261762374546
gender	Bacteroides_salyersiae	male	-0.00198515356965502	0.000547201131922797	1034	628	0.000299971207427245	0.0182382494115765
gender	Alistipes_putredinis	male	-0.00968753903289128	0.00270478264995432	1034	874	0.000357562332014864	0.0203810529248472
BMI	Bacteroidales_bacterium_ph8	BMI	-0.000822423919723313	0.000229415348223788	1034	637	0.000353213360993798	0.0203810529248472
BMI	Lachnospiraceae_bacterium_7_1_58FAA	BMI	-6.02934991752996e-05	1.71379837268164e-05	1034	842	0.000453769999324982	0.024886022622616
BMI	Bifidobacterium_bifidum	BMI	-0.000516744358902377	0.000147128591163167	1034	276	0.000463884193623324	0.024886022622616
BMI	Anaerotruncus_unclassified	BMI	-3.22712808209088e-05	9.33885662383969e-06	1034	792	0.000571696268577045	0.0289659442745703
BMI	Oscillibacter_unclassified	BMI	-0.000625849107176913	0.000181096507830421	1034	912	0.000571078384123632	0.0289659442745703
BMI	Barnesiella_intestinihominis	BMI	-0.00108977046333299	0.000316742751181123	1034	566	0.00060403981565096	0.02977753037155
BMI	Alistipes_putredinis	BMI	-0.00449174505866718	0.00131025047865107	1034	874	0.000631974438360405	0.0302562503132438
age	candidate_division_TM7_single_cell_isolate_TM7c	age	3.23563416826039e-06	9.47543454167569e-07	1034	256	0.000663514261255347	0.0302562503132438
age	Bifidobacterium_pseudocatenulatum	age	0.00214350136312349	0.000626562504135373	1034	807	0.000648530419164322	0.0302562503132438
gender	Oscillibacter_unclassified	male	-0.00126921321283259	0.000373842025115172	1034	912	0.000712586089122644	0.0317013908917001
age	Bacteroides_cellulosilyticus	age	0.00138741198185907	0.000410369068931978	1034	792	0.000749915868868999	0.0325677748765965
BMI	Clostridiales_bacterium_1_7_47FAA	BMI	-4.4210970626229e-05	1.31329913369968e-05	1034	621	0.000789961087692526	0.0335090470686318
gender	Odoribacter_splanchnicus	male	-0.00129194442305466	0.000384518251815019	1034	683	0.000808575398515335	0.0335191256111812
BMI	Bacteroides_ovatus	BMI	-0.00428575630771328	0.00129314056775608	1034	1031	0.000951313937782404	0.0369779128201508
age	Eubacterium_eligens	age	0.00299632463060827	0.000904203348262671	1034	960	0.000952829990431517	0.0369779128201508
gender	Campylobacter_hominis	male	-9.74868447317695e-06	2.93658773241471e-06	1034	89	0.000932938092939163	0.0369779128201508
BMI	Holdemania_filiformis	BMI	-6.93279518877217e-05	2.10235691726249e-05	1034	594	0.00100871036997725	0.0383309940591353
age	Roseburia_unclassified	age	0.000416288377908273	0.000127430958587256	1034	146	0.00112405621481192	0.0411366818755993
age	Actinomyces_oris	age	6.4672973159004e-07	1.98027244820678e-07	1034	73	0.0011276502707127	0.0411366818755993
gender	Bacteroides_ovatus	male	-0.00859817467270304	0.00266946223535795	1034	1031	0.00131811195043744	0.0471418862274098
BMI	Bacteroides_cellulosilyticus	BMI	-0.00134750519178149	0.000419470950663586	1034	792	0.00135755438912996	0.047515131731997
gender	Prevotella_timonensis	male	-6.03111630275836e-06	1.88032041273497e-06	1034	62	0.00138064801633544	0.047515131731997
BMI	Clostridium_symbiosum	BMI	-0.000207472002616127	6.52691130431127e-05	1034	590	0.0015238135790906	0.0514710364492826
age	Coprococcus_catus	age	0.000151370752096292	4.80071863059762e-05	1034	792	0.0016627310101634	0.0551422065916008
BMI	Clostridium_citroniae	BMI	-5.08359612825794e-05	1.62798171141934e-05	1034	764	0.00184288286532016	0.0573236729417679
age	Chlamydophila_unclassified	age	4.47665489652513e-07	1.4280427049736e-07	1034	186	0.00176875550864644	0.0573236729417679
BMI	Flavonifractor_plautii	BMI	-0.000100393063825368	3.20681450787419e-05	1034	847	0.00179401067235313	0.0573236729417679
age	Lactobacillus_salivarius	age	0.000114887840785117	3.68134212535184e-05	1034	150	0.00185421968397166	0.0573236729417679
age	Clostridiaceae_bacterium_JC118	age	2.38641024050598e-05	7.67331598662068e-06	1034	218	0.00192271950302238	0.0584506728918802
BMI	Ruminococcus_obeum	BMI	-0.000423984691641502	0.000137285314020502	1034	1030	0.00206716389930223	0.0618115893824143
age	Burkholderia_unclassified	age	-2.58847203988994e-06	8.41038796760881e-07	1034	119	0.00214168661501358	0.0630070384803994
gender	Parabacteroides_johnsonii	male	-0.000808022061943077	0.000263434637352994	1034	531	0.00221728121207252	0.0631925145440667
GROUP	Lachnospiraceae_bacterium_4_1_37FAA	G2	1.15706833293455e-05	3.77034816587236e-06	1034	172	0.00220551291406705	0.0631925145440667
age	Megamonas_funiformis	age	-0.00247684240756718	0.000815430048496574	1034	589	0.00244642611908197	0.068650480633931
BMI	Alistipes_onderdonkii	BMI	-0.00103628235788564	0.000344211682854144	1034	819	0.00267152866628349	0.0738313376863802
BMI	Anaerofustis_stercorihominis	BMI	-3.42661374055232e-06	1.14084330448258e-06	1034	84	0.00273334802150531	0.0744123401675475
gender	Cronobacter_unclassified	male	-2.4186549773163e-07	8.2287149475446e-08	1034	16	0.00336382979555546	0.0902297874572523
GROUP	Bacteroides_plebeius	G2	-0.0126268821679047	0.00430796158213392	1034	839	0.00345345925906413	0.0912914447613475
age	Lactobacillus_oris	age	3.95277063689948e-06	1.35303816554744e-06	1034	26	0.00356137608071999	0.0927992853033323
BMI	Anaerotruncus_colihominis	BMI	-4.30473947956183e-05	1.47590047538462e-05	1034	536	0.00361521439275419	0.092875366934981
gender	Porphyromonas_somerae	male	-7.55148035369385e-07	2.59584704550786e-07	1034	10	0.00370381297722528	0.0938299287563738
BMI	Clostridium_asparagiforme	BMI	-7.31524628583841e-05	2.52072343229695e-05	1034	597	0.00378712506464714	0.0946262481906353
age	candidate_division_TM7_single_cell_isolate_TM7b	age	1.34118089936037e-06	4.62976518836273e-07	1034	108	0.00384964960097705	0.0948886604348938
